timestamp,username,message
2025-06-11T22:08:33,stormixy08,change de pilot
2025-06-11T22:08:34,dowen_67,Terrifiant
2025-06-11T22:08:35,slyfe_222,la prédi svp
2025-06-11T22:08:35,eyatiiii,Yy quand même
2025-06-11T22:08:36,maxence261208,Vache
2025-06-11T22:08:37,confusingnight,y'a une cam sur la switch 2 ?
2025-06-11T22:08:38,ninimugiwara,toadette
2025-06-11T22:08:38,oceanelvrs,mario
2025-06-11T22:08:38,dark_eye_fps,Toadette
2025-06-11T22:08:38,ladinpa,maskas
2025-06-11T22:08:38,shwasmr2b,ptdrrr il était malheureux puis il a vu gota 5 donc il est heureux fou rire
2025-06-11T22:08:38,manon_dbs_,LUL LUL LUL LUL LUL LUL
2025-06-11T22:08:38,nightsaber0180,VACHE
2025-06-11T22:08:39,tko93260,VACHE
2025-06-11T22:08:39,ioris2211,crabby
2025-06-11T22:08:39,li_bpd,Doigby nous a fait un plot twist sur la fin
2025-06-11T22:08:39,m8_skuwizi,VACHE
2025-06-11T22:08:39,shad0w_sama_lebanni,pianta
2025-06-11T22:08:39,nikadinho27,les 20 pièces
2025-06-11T22:08:40,brnicermy_17,un petit
2025-06-11T22:08:40,black_unicor,la vache
2025-06-11T22:08:41,emygoth_daemon,toadette
2025-06-11T22:08:42,trululu887,prend le phantome
2025-06-11T22:08:42,tsukooriginal,petit perso
2025-06-11T22:08:42,tristanpst,pianta
2025-06-11T22:08:42,st4rvania,skeletex et bloups!!
2025-06-11T22:08:43,rtx_snayzy,vache
2025-06-11T22:08:43,mar_yi_e,!switch2
2025-06-11T22:08:43,gonandkirua,regarde pas les retro quand tu est dans un virage
2025-06-11T22:08:43,lefriteux64,maskass
2025-06-11T22:08:45,tremtekk,oouiiiii baby harmonie
2025-06-11T22:08:46,maxence261208,Le 4x4
2025-06-11T22:08:47,etal0nna,vache
2025-06-11T22:08:47,kali_427,massasse
2025-06-11T22:08:47,pa8lit00,abeille
